NaiveBayesSimple,J48
97.802198,95.604396
96.703297,92.307692
94.505495,87.912088
96.703297,94.505495
96.703297,91.208791
95.604396,96.703297
100,97.802198
97.802198,94.505495
97.777778,94.444444
94.444444,93.333333
95.604396,94.505495
95.604396,87.912088
94.505495,93.406593
95.604396,91.208791
98.901099,94.505495
98.901099,96.703297
97.802198,94.505495
98.901099,94.505495
95.555556,90
97.777778,93.333333
95.604396,93.406593
97.802198,92.307692
96.703297,90.10989
98.901099,91.208791
94.505495,92.307692
97.802198,94.505495
96.703297,94.505495
95.604396,94.505495
97.777778,96.666667
97.777778,93.333333
95.604396,89.010989
98.901099,96.703297
96.703297,95.604396
97.802198,94.505495
97.802198,89.010989
97.802198,95.604396
94.505495,91.208791
98.901099,95.604396
98.888889,92.222222
95.555556,95.555556
96.703297,96.703297
98.901099,90.10989
97.802198,93.406593
96.703297,92.307692
92.307692,94.505495
94.505495,93.406593
97.802198,94.505495
94.505495,91.208791
98.888889,96.666667
98.888889,91.111111
97.802198,94.505495
96.703297,93.406593
95.604396,92.307692
93.406593,95.604396
95.604396,92.307692
95.604396,93.406593
95.604396,92.307692
96.703297,84.615385
97.777778,95.555556
96.666667,92.222222
97.802198,94.505495
96.703297,95.604396
96.703297,92.307692
96.703297,92.307692
95.604396,90.10989
97.802198,90.10989
96.703297,91.208791
93.406593,91.208791
98.888889,93.333333
98.888889,96.666667
97.802198,96.703297
98.901099,92.307692
95.604396,93.406593
96.703297,95.604396
98.901099,93.406593
97.802198,91.208791
98.901099,94.505495
96.703297,92.307692
97.777778,91.111111
97.777778,94.444444
97.802198,93.406593
95.604396,92.307692
97.802198,93.406593
98.901099,90.10989
98.901099,94.505495
95.604396,93.406593
94.505495,91.208791
96.703297,93.406593
94.444444,94.444444
100,95.555556
95.604396,91.208791
94.505495,95.604396
96.703297,92.307692
97.802198,94.505495
96.703297,93.406593
93.406593,93.406593
94.505495,95.604396
98.901099,94.505495
97.777778,92.222222
96.666667,92.222222
